 8: 10825.884766, 10825.884766 avg loss, 0.000000 rate, 28.372488 seconds, 4096 images, -1.000000 hours left
 16: 10698.276367, 10813.124023 avg loss, 0.000000 rate, 27.393010 seconds, 8192 images, 47.224530 hours left
 24: 10698.890625, 10801.701172 avg loss, 0.000000 rate, 27.134846 seconds, 12288 images, 47.207620 hours left
 32: 10697.894531, 10791.320312 avg loss, 0.000000 rate, 27.709854 seconds, 16384 images, 47.185984 hours left
 40: 10698.961914, 10782.083984 avg loss, 0.000000 rate, 27.076719 seconds, 20480 images, 47.173494 hours left
 48: 10697.083984, 10773.583984 avg loss, 0.000000 rate, 27.581490 seconds, 24576 images, 47.150031 hours left
 56: 10694.316406, 10765.657227 avg loss, 0.000000 rate, 27.784607 seconds, 28672 images, 47.134556 hours left
 64: 10690.115234, 10758.103516 avg loss, 0.000000 rate, 27.549269 seconds, 32768 images, 47.121966 hours left
 72: 10680.306641, 10750.324219 avg loss, 0.000000 rate, 28.115254 seconds, 36864 images, 47.105005 hours left
 80: 10667.948242, 10742.086914 avg loss, 0.000000 rate, 28.212607 seconds, 40960 images, 47.096921 hours left
 88: 3482.403809, 10016.118164 avg loss, 0.000000 rate, 9.773234 seconds, 45056 images, 47.089894 hours left
 96: 3472.384277, 9361.745117 avg loss, 0.000000 rate, 9.807415 seconds, 49152 images, 46.779507 hours left
 104: 3459.887207, 8771.559570 avg loss, 0.000000 rate, 9.766442 seconds, 53248 images, 46.472555 hours left
 112: 3444.787598, 8238.882812 avg loss, 0.000000 rate, 9.579255 seconds, 57344 images, 46.167785 hours left
 120: 3426.515625, 7757.645996 avg loss, 0.000000 rate, 9.595532 seconds, 61440 images, 45.862784 hours left
 128: 3402.015625, 7322.083008 avg loss, 0.000000 rate, 9.771622 seconds, 65536 images, 45.560885 hours left
 136: 3371.891602, 6927.063965 avg loss, 0.000000 rate, 9.805027 seconds, 69632 images, 45.264664 hours left
 144: 3334.845215, 6567.842285 avg loss, 0.000000 rate, 9.460837 seconds, 73728 images, 44.971733 hours left
 152: 3290.421631, 6240.100098 avg loss, 0.000000 rate, 9.629098 seconds, 77824 images, 44.675914 hours left
 160: 3237.419434, 5939.832031 avg loss, 0.000000 rate, 9.623213 seconds, 81920 images, 44.385576 hours left
 168: 4312.145508, 5777.063477 avg loss, 0.000000 rate, 12.815524 seconds, 86016 images, 44.097832 hours left
 176: 4214.165527, 5620.773438 avg loss, 0.000000 rate, 12.744679 seconds, 90112 images, 43.864467 hours left
 184: 4096.426270, 5468.338867 avg loss, 0.000000 rate, 12.719833 seconds, 94208 images, 43.632005 hours left
 192: 3964.913330, 5317.996094 avg loss, 0.000000 rate, 12.893373 seconds, 98304 images, 43.401183 hours left
 200: 3813.880615, 5167.584473 avg loss, 0.000000 rate, 12.579543 seconds, 102400 images, 43.175186 hours left
 208: 3642.920654, 5015.118164 avg loss, 0.000000 rate, 13.041193 seconds, 106496 images, 42.946107 hours left
 216: 3462.387695, 4859.845215 avg loss, 0.000000 rate, 12.554887 seconds, 110592 images, 42.726466 hours left
 224: 3255.722168, 4699.433105 avg loss, 0.000000 rate, 12.617479 seconds, 114688 images, 42.500919 hours left
 232: 3033.349365, 4532.824707 avg loss, 0.000000 rate, 12.698649 seconds, 118784 images, 42.278352 hours left
 240: 2797.744629, 4359.316895 avg loss, 0.000000 rate, 12.941222 seconds, 122880 images, 42.059031 hours left
 248: 1786.815796, 4102.066895 avg loss, 0.000000 rate, 9.067801 seconds, 126976 images, 41.845503 hours left
 256: 1612.575439, 3853.117676 avg loss, 0.000000 rate, 9.122521 seconds, 131072 images, 41.571932 hours left
 264: 1440.457031, 3611.851562 avg loss, 0.000000 rate, 8.962963 seconds, 135168 images, 41.301769 hours left
 272: 1270.259155, 3377.692383 avg loss, 0.000000 rate, 9.038437 seconds, 139264 images, 41.031564 hours left
 280: 1107.010010, 3150.624268 avg loss, 0.000000 rate, 9.134743 seconds, 143360 images, 40.765061 hours left
 288: 954.921753, 2931.053955 avg loss, 0.000000 rate, 9.119073 seconds, 147456 images, 40.502555 hours left
 296: 808.359985, 2718.784668 avg loss, 0.000000 rate, 8.925603 seconds, 151552 images, 40.242221 hours left
 304: 679.024048, 2514.808594 avg loss, 0.000000 rate, 9.142629 seconds, 155648 images, 39.981222 hours left
 312: 559.460327, 2319.273682 avg loss, 0.000000 rate, 9.136121 seconds, 159744 images, 39.726069 hours left
 320: 460.200165, 2133.366211 avg loss, 0.000000 rate, 9.020938 seconds, 163840 images, 39.473162 hours left
 328: 353.890198, 1955.418579 avg loss, 0.000000 rate, 8.912346 seconds, 167936 images, 39.220763 hours left
 336: 280.482422, 1787.924927 avg loss, 0.000000 rate, 8.861704 seconds, 172032 images, 38.968975 hours left
 344: 218.949585, 1631.027344 avg loss, 0.000000 rate, 8.887613 seconds, 176128 images, 38.718712 hours left
 352: 169.364059, 1484.860962 avg loss, 0.000000 rate, 8.891307 seconds, 180224 images, 38.471161 hours left
 360: 128.299652, 1349.204834 avg loss, 0.000000 rate, 8.638742 seconds, 184320 images, 38.225946 hours left
 368: 96.356674, 1223.920044 avg loss, 0.000000 rate, 8.788015 seconds, 188416 images, 37.979029 hours left
 376: 72.185410, 1108.746582 avg loss, 0.000000 rate, 8.922665 seconds, 192512 images, 37.736724 hours left
 384: 54.257061, 1003.297607 avg loss, 0.000000 rate, 8.659920 seconds, 196608 images, 37.498750 hours left
 392: 41.106430, 907.078491 avg loss, 0.000000 rate, 8.806435 seconds, 200704 images, 37.258859 hours left
 400: 31.811144, 819.551758 avg loss, 0.000000 rate, 8.921950 seconds, 204800 images, 37.023457 hours left
 408: 30.464811, 740.643066 avg loss, 0.000000 rate, 11.738716 seconds, 208896 images, 36.792011 hours left
 416: 23.274931, 668.906250 avg loss, 0.000000 rate, 11.659423 seconds, 212992 images, 36.606433 hours left
 424: 18.319283, 603.847534 avg loss, 0.000000 rate, 11.723766 seconds, 217088 images, 36.421221 hours left
 432: 13.852970, 544.848083 avg loss, 0.000000 rate, 11.438144 seconds, 221184 images, 36.238599 hours left
 440: 11.167994, 491.480072 avg loss, 0.000000 rate, 11.646310 seconds, 225280 images, 36.053125 hours left
 448: 8.589126, 443.190979 avg loss, 0.000000 rate, 11.363543 seconds, 229376 images, 35.872476 hours left
 456: 7.296813, 399.601562 avg loss, 0.000000 rate, 11.587757 seconds, 233472 images, 35.689004 hours left
 464: 6.541302, 360.295532 avg loss, 0.000000 rate, 11.702034 seconds, 237568 images, 35.510567 hours left
 472: 5.291745, 324.795166 avg loss, 0.000000 rate, 11.793970 seconds, 241664 images, 35.335415 hours left
 480: 5.516791, 292.867340 avg loss, 0.000001 rate, 11.868588 seconds, 245760 images, 35.163165 hours left
 488: 5.227314, 264.103333 avg loss, 0.000001 rate, 19.385380 seconds, 249856 images, 34.993521 hours left
 496: 4.664623, 238.159454 avg loss, 0.000001 rate, 18.837400 seconds, 253952 images, 34.940399 hours left
 504: 4.746005, 214.818115 avg loss, 0.000001 rate, 19.189508 seconds, 258048 images, 34.878999 hours left
 512: 4.774093, 193.813705 avg loss, 0.000001 rate, 18.991161 seconds, 262144 images, 34.823171 hours left
 520: 4.453338, 174.877670 avg loss, 0.000001 rate, 18.920801 seconds, 266240 images, 34.764452 hours left
 528: 4.118163, 157.801712 avg loss, 0.000001 rate, 19.216495 seconds, 270336 images, 34.704826 hours left
 536: 3.964058, 142.417953 avg loss, 0.000001 rate, 18.827200 seconds, 274432 images, 34.649870 hours left
 544: 4.200216, 128.596176 avg loss, 0.000001 rate, 18.863559 seconds, 278528 images, 34.589128 hours left
 552: 3.858209, 116.122383 avg loss, 0.000001 rate, 18.678957 seconds, 282624 images, 34.529126 hours left
 560: 4.315679, 104.941711 avg loss, 0.000001 rate, 19.283435 seconds, 286720 images, 34.466512 hours left
 568: 4.294097, 94.876953 avg loss, 0.000001 rate, 10.803814 seconds, 290816 images, 34.413243 hours left
 576: 4.570941, 85.846352 avg loss, 0.000001 rate, 10.633243 seconds, 294912 images, 34.232129 hours left
